%OpenBCI Raw EEG Data
%
%Sample Rate = 200.0 Hz
%First Column = SampleIndex
%Last Column = Timestamp 
%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data
58, 42.76, 46.92, 23.72, 24.66, 0.000, 0.000, 0.000, 17:00:33.441
59, 82.19, 38.86, 39.05, 21.29, 0.000, 0.000, 0.000, 17:00:33.443
60, -17.54, -23.19, -25.39, -73.69, 0.000, 0.000, 0.000, 17:00:33.445
61, -59.51, -76.28, -63.25, -138.97, 0.000, 0.000, 0.000, 17:00:33.453
62, 47.04, 48.66, 39.56, 30.07, 0.000, 0.000, 0.000, 17:00:33.454
63, 82.99, 70.67, 51.44, 77.52, 0.000, 0.000, 0.000, 17:00:33.477
64, -11.08, -1.40, -7.80, -55.67, 0.000, 0.000, 0.000, 17:00:33.485
65, -130.15, -104.57, -82.71, -173.31, 0.000, 0.000, 0.000, 17:00:33.491
66, 50.09, 87.14, 11.12, -17.73, 0.000, 0.000, 0.000, 17:00:33.491
67, 241.17, 268.78, 80.97, 76.59, 0.000, 0.000, 0.000, 17:00:33.493
68, 51.06, 54.69, 21.26, -113.62, 0.000, 0.000, 0.000, 17:00:33.493
69, -70.60, -85.80, -71.73, -364.81, 0.000, 0.000, 0.000, 17:00:33.506
70, 68.39, 84.93, 14.57, -64.60, 0.000, 0.000, 0.000, 17:00:33.507
71, 227.88, 218.97, 105.04, 35.35, 0.000, 0.000, 0.000, 17:00:33.512
72, 15.77, 15.50, -2.18, -71.24, 0.000, 0.000, 0.000, 17:00:33.512
73, -124.89, -135.54, -76.22, -163.33, 0.000, 0.000, 0.000, 17:00:33.517
74, 49.23, 54.07, -8.71, -16.66, 0.000, 0.000, 0.000, 17:00:33.517
75, 207.34, 197.55, 117.78, 73.57, 0.000, 0.000, 0.000, 17:00:33.528
76, -17.60, 44.73, -24.52, -68.33, 0.000, 0.000, 0.000, 17:00:33.529
77, -176.99, -163.74, -118.72, -141.02, 0.000, 0.000, 0.000, 17:00:33.530
78, 29.89, 63.25, 3.98, -72.87, 0.000, 0.000, 0.000, 17:00:33.531
79, 228.31, 185.35, 97.15, 72.80, 0.000, 0.000, 0.000, 17:00:33.544
80, -12.79, -4.75, -21.94, 39.99, 0.000, 0.000, 0.000, 17:00:33.545
81, -121.89, -106.53, -73.72, -163.15, 0.000, 0.000, 0.000, 17:00:33.558
82, 18.74, 14.69, 27.20, 27.13, 0.000, 0.000, 0.000, 17:00:33.559
83, 134.70, 142.95, 97.16, 166.23, 0.000, 0.000, 0.000, 17:00:33.563
84, 14.91, 9.21, -13.14, 7.04, 0.000, 0.000, 0.000, 17:00:33.564
85, -129.91, -97.36, -104.46, -195.97, 0.000, 0.000, 0.000, 17:00:33.575
86, 31.19, 5.68, 44.56, 22.97, 0.000, 0.000, 0.000, 17:00:33.576
87, 122.18, 110.56, 122.21, 323.08, 0.000, 0.000, 0.000, 17:00:33.588
88, -29.71, -46.13, 0.12, 70.33, 0.000, 0.000, 0.000, 17:00:33.588
89, -98.57, -90.52, -62.59, -314.85, 0.000, 0.000, 0.000, 17:00:33.589
90, 16.03, 22.61, 10.14, -18.96, 0.000, 0.000, 0.000, 17:00:33.589
91, 61.31, 78.77, 86.87, 319.62, 0.000, 0.000, 0.000, 17:00:33.602
92, -7.27, -53.30, -29.26, 70.18, 0.000, 0.000, 0.000, 17:00:33.603
93, -87.61, -99.01, -63.91, -140.82, 0.000, 0.000, 0.000, 17:00:33.618
94, 5.85, 16.75, 20.27, 1.60, 0.000, 0.000, 0.000, 17:00:33.619
95, 44.33, 63.56, 89.36, 112.42, 0.000, 0.000, 0.000, 17:00:33.620
96, -25.51, -30.75, 7.57, -63.87, 0.000, 0.000, 0.000, 17:00:33.621
97, -73.08, -94.54, -80.45, -141.25, 0.000, 0.000, 0.000, 17:00:33.632
98, -23.08, 2.11, 23.97, 20.87, 0.000, 0.000, 0.000, 17:00:33.633
99, 76.60, 69.07, 81.15, 175.95, 0.000, 0.000, 0.000, 17:00:33.649
100, -10.73, -24.00, -10.91, 47.17, 0.000, 0.000, 0.000, 17:00:33.650
101, -54.15, -58.59, -71.92, -200.13, 0.000, 0.000, 0.000, 17:00:33.651
102, 41.87, 57.94, 0.64, 23.47, 0.000, 0.000, 0.000, 17:00:33.651
103, 85.21, 86.31, 87.50, 467.95, 0.000, 0.000, 0.000, 17:00:33.663
104, -36.57, -12.43, -14.21, 63.66, 0.000, 0.000, 0.000, 17:00:33.677
105, -64.03, -55.79, -72.78, -368.25, 0.000, 0.000, 0.000, 17:00:33.680
106, 38.58, 74.35, 24.75, 41.36, 0.000, 0.000, 0.000, 17:00:33.680
107, 69.15, 73.14, 88.16, 427.23, 0.000, 0.000, 0.000, 17:00:33.681
108, -0.49, -20.68, -1.77, -8.03, 0.000, 0.000, 0.000, 17:00:33.681
109, -35.57, -51.38, -99.75, -334.65, 0.000, 0.000, 0.000, 17:00:33.692
110, 36.35, 23.98, 29.77, 17.79, 0.000, 0.000, 0.000, 17:00:33.695
111, 89.74, 75.35, 91.21, 450.27, 0.000, 0.000, 0.000, 17:00:33.709
112, 18.82, -17.32, -10.08, 62.44, 0.000, 0.000, 0.000, 17:00:33.711
113, -65.87, -40.40, -103.08, -406.33, 0.000, 0.000, 0.000, 17:00:33.714
114, 26.61, 42.89, 17.41, -12.79, 0.000, 0.000, 0.000, 17:00:33.715
115, 97.96, 58.86, 91.20, 444.37, 0.000, 0.000, 0.000, 17:00:33.723
116, -6.64, -12.87, -6.31, 60.93, 0.000, 0.000, 0.000, 17:00:33.725
117, -96.67, -109.64, -71.26, -201.06, 0.000, 0.000, 0.000, 17:00:33.737
