delta_0;theta_0;alpha_0;beta_0;gamma_0;delta_1;theta_1;alpha_1;beta_1;gamma_1;delta_2;theta_2;alpha_2;beta_2;gamma_2;delta_3;theta_3;alpha_3;beta_3;gamma_3;delta_4;theta_4;alpha_4;beta_4;gamma_4;delta_5;theta_5;alpha_5;beta_5;gamma_5;delta_6;theta_6;alpha_6;beta_6;gamma_6;delta_7;theta_7;alpha_7;beta_7;gamma_7;delta_8;theta_8;alpha_8;beta_8;gamma_8;delta_9;theta_9;alpha_9;beta_9;gamma_9;delta_10;theta_10;alpha_10;beta_10;gamma_10;delta_11;theta_11;alpha_11;beta_11;gamma_11;delta_12;theta_12;alpha_12;beta_12;gamma_12;delta_13;theta_13;alpha_13;beta_13;gamma_13;delta_14;theta_14;alpha_14;beta_14;gamma_14;delta_15;theta_15;alpha_15;beta_15;gamma_15;ACTION
0.0551659;0.11984288;0.16981724;0.5389737;0.12417797;0.0509865;0.1445398;0.15747948;0.3204288;0.11468539;0.040464014;0.17477931;0.18865493;0.5679356;0.13211052;0.035632353;0.16171184;0.13416593;0.75517356;0.19217631;0.019284908;0.16842525;0.15201177;0.37956023;0.124839;0.041327916;0.18768346;0.2428219;0.2954148;0.116507255;0.029463958;0.13946012;0.1704672;0.44844875;0.16112319;0.04357047;0.19318563;0.2969971;0.3510458;0.15224916;0.03381709;0.16422452;0.1397853;0.31269252;0.12616323;0.04897583;0.16913609;0.15659595;0.2936324;0.1240525;0.03807009;0.15587164;0.14177692;0.3307771;0.1308207;0.082358524;0.1493085;0.15779296;0.28685132;0.122446224;0.034380965;0.17067;0.1469333;0.7289019;0.16698942;0.031088438;0.15847924;0.16171218;0.36796442;0.13128546;0.082001545;0.28200766;0.18654093;2.5507135;0.4634866;0.1503256;2.8255541;0.33971137;3.1437838;0.44052953;1000
0.053545915;0.11988896;0.16017188;0.54293823;0.124153905;0.049126722;0.14395782;0.1514041;0.3176348;0.115381315;0.039821256;0.17091887;0.18074891;0.5761035;0.13206041;0.034777917;0.16021284;0.1285015;0.7697124;0.19342215;0.019310357;0.16555427;0.14754331;0.3837837;0.124925464;0.03959655;0.18642117;0.24034722;0.2956326;0.11693151;0.029967895;0.13623041;0.16220134;0.4504412;0.16223112;0.0424294;0.19252035;0.29351255;0.3515685;0.15323201;0.032487325;0.16329366;0.13325107;0.31397426;0.124991305;0.04754015;0.1685229;0.14945342;0.29358694;0.12304254;0.03684807;0.15528518;0.13525972;0.33237025;0.12969337;0.08097142;0.1473634;0.15222563;0.2850775;0.121335484;0.033247814;0.1693968;0.14089154;0.7313791;0.16589731;0.03086208;0.1572764;0.15165895;0.3645223;0.13026987;0.082478374;0.28323135;0.17788357;2.5527956;0.46213;0.14615142;2.865846;0.33691385;3.1425598;0.43935394;1000
0.051698036;0.1195815;0.15231094;0.54666114;0.12388872;0.047071643;0.14280863;0.14665866;0.31576258;0.115750164;0.03896738;0.1667993;0.17485625;0.5834155;0.13170029;0.033891868;0.15820144;0.12424439;0.7848701;0.19424444;0.019280994;0.1622195;0.14451644;0.3877156;0.12467436;0.03772675;0.18449587;0.23748833;0.29622605;0.11704835;0.030647717;0.13314107;0.15520152;0.4534845;0.16299406;0.04106684;0.19131213;0.28962937;0.35265082;0.15418406;0.031052886;0.16176552;0.12760867;0.31529868;0.12352677;0.0461529;0.1672687;0.14311104;0.29394448;0.12174467;0.035488106;0.15406998;0.12966006;0.33389634;0.12828806;0.079355836;0.14506587;0.14790982;0.28366596;0.119930014;0.031985365;0.16750613;0.13589777;0.73264164;0.16447002;0.030590871;0.15564902;0.14351538;0.36235362;0.12886553;0.083341956;0.28551048;0.17028837;2.549828;0.46026278;0.14177439;2.91266;0.33477798;3.135203;0.43797123;1000
0.049829036;0.11876663;0.1465908;0.5498782;0.12338675;0.045100622;0.14099658;0.1432491;0.31429416;0.11579261;0.038107947;0.16240758;0.17089143;0.58959407;0.13104373;0.033113785;0.15550014;0.121338636;0.80050516;0.19463262;0.0194913;0.15830082;0.14297527;0.3911081;0.12406018;0.035878517;0.1816762;0.23442817;0.29704568;0.116850846;0.03142421;0.13012438;0.149707;0.45727757;0.16339654;0.03968034;0.18932551;0.28552976;0.35427183;0.15506908;0.029699977;0.15954405;0.122971624;0.3164248;0.12188999;0.045454666;0.16531795;0.13765164;0.2943985;0.12024035;0.034182064;0.15211281;0.12506597;0.33513427;0.12677445;0.07799779;0.14225768;0.14489265;0.28224897;0.1183393;0.030772515;0.16489306;0.1319858;0.73238534;0.16293657;0.030448291;0.15346983;0.13732652;0.3609341;0.12714882;0.08428008;0.28743434;0.16420674;2.5411744;0.45823935;0.13685021;2.9641845;0.33361512;3.1213102;0.4366195;1000
0.047842123;0.11746149;0.14273848;0.55215645;0.1226708;0.04310278;0.138577;0.14090116;0.312979;0.11548311;0.037187412;0.157889;0.16843906;0.59444886;0.13008997;0.03239629;0.15243524;0.11952513;0.8165745;0.19457391;0.01979817;0.15400417;0.14262454;0.39390752;0.12319417;0.03393583;0.17813428;0.23106033;0.29807946;0.11632813;0.032238327;0.12732802;0.14584363;0.46174896;0.16351122;0.038252708;0.18678187;0.28112137;0.35635954;0.15591419;0.028288286;0.15673193;0.119251564;0.3172093;0.12005587;0.04537775;0.16266204;0.13303658;0.29474556;0.11852519;0.032799754;0.14971492;0.12140851;0.33595732;0.12513305;0.07725657;0.13894172;0.14301687;0.28091618;0.116536364;0.029723763;0.16170977;0.12902929;0.730321;0.16126713;0.03036522;0.15091632;0.13280706;0.35945266;0.12513816;0.08525433;0.2886834;0.15956973;2.526432;0.45599237;0.13175774;3.0195184;0.3330206;3.1000962;0.4352323;1000
0.046140533;0.1157384;0.14032689;0.55313677;0.12175143;0.041830964;0.13557926;0.13969247;0.3113391;0.11485672;0.03642987;0.15313815;0.16721906;0.5974456;0.12885705;0.031910505;0.14897415;0.11863421;0.83260494;0.19403052;0.020207342;0.14932658;0.14331289;0.39567888;0.12210784;0.03215775;0.17390847;0.22734144;0.29918033;0.11550219;0.033100456;0.12468864;0.14349067;0.4662136;0.16328177;0.03694171;0.1835657;0.27633533;0.3583145;0.1566297;0.02724316;0.15326141;0.116373196;0.3170546;0.11803079;0.045552116;0.15933035;0.1293773;0.29433852;0.116609365;0.031664692;0.14694847;0.11862368;0.33573562;0.12333587;0.07691062;0.13508628;0.14229211;0.27909052;0.11457328;0.029043622;0.15790798;0.12691297;0.7259029;0.1595272;0.03045973;0.14788137;0.12973192;0.35706395;0.12285981;0.086232156;0.28926665;0.15593548;2.504691;0.4535825;0.12621091;3.0784807;0.33322442;3.0713108;0.4337983;1000
0.044745088;0.11353909;0.13910319;0.55300915;0.12065519;0.041108645;0.13203244;0.13946916;0.30971792;0.113927536;0.035661027;0.14795896;0.16696498;0.5986466;0.12736899;0.03132152;0.1448822;0.118418105;0.8483469;0.19317612;0.020691961;0.14419186;0.1448603;0.39645228;0.120693326;0.030579224;0.1689184;0.2229475;0.30049658;0.114409275;0.033983547;0.12187871;0.14243007;0.4705327;0.16281535;0.035561718;0.1794899;0.27081934;0.3601258;0.15736865;0.026508018;0.14916125;0.11416587;0.31664717;0.11594485;0.045805093;0.15536751;0.12648939;0.29395857;0.11466237;0.030970616;0.14357847;0.11659004;0.33502996;0.12155066;0.07664594;0.13076188;0.14233881;0.2775887;0.112611696;0.028672207;0.1535298;0.12550724;0.71973306;0.15775077;0.030678727;0.14437337;0.12783533;0.3542822;0.12052667;0.087339304;0.28903747;0.15334854;2.4771667;0.45108485;0.12023407;3.141002;0.33387482;3.0351813;0.43231326;1000
0.043430448;0.11083055;0.13889462;0.55175185;0.11944319;0.040525258;0.1280437;0.1398407;0.30848768;0.11270294;0.035044122;0.14243369;0.1674731;0.5987975;0.12568203;0.030850308;0.14035448;0.11866405;0.86417127;0.19199893;0.021115573;0.13891451;0.14697817;0.39649978;0.11905517;0.029096138;0.16326472;0.21852218;0.30212945;0.11311242;0.03477228;0.119164385;0.14235629;0.4751543;0.16214563;0.034293186;0.17481034;0.2645487;0.36190397;0.157916;0.025912121;0.14465302;0.1125967;0.3158813;0.113811076;0.04602309;0.15108189;0.12415394;0.29377577;0.112632215;0.03034201;0.13969699;0.11532388;0.33406544;0.11973799;0.076291524;0.12600522;0.14302418;0.27667922;0.11057209;0.028348815;0.14863852;0.12481251;0.7118395;0.15602355;0.030849405;0.14052297;0.12680115;0.3511955;0.118107654;0.08839604;0.28796494;0.15159659;2.443827;0.44867897;0.11429027;3.2045703;0.33456722;2.992038;0.43089458;1000
0.042217653;0.107728355;0.13967615;0.5493786;0.11823506;0.039985385;0.12380925;0.14086147;0.30792713;0.11137479;0.034653015;0.13667059;0.1687955;0.5978891;0.12398295;0.030632969;0.13558684;0.11959155;0.87990767;0.19069378;0.021548063;0.1337928;0.14969002;0.39588347;0.11747407;0.02794214;0.15732972;0.21426173;0.30360714;0.11183628;0.035489928;0.11685791;0.14315048;0.47969377;0.16138871;0.033436425;0.16976906;0.25794667;0.36352488;0.15854408;0.025519267;0.13999662;0.111969605;0.31493422;0.111660935;0.046284;0.14644031;0.12288607;0.293928;0.110570356;0.029896691;0.13541248;0.114954494;0.3329934;0.11790863;0.075892314;0.120953806;0.14443879;0.27622184;0.10851478;0.028148782;0.14351985;0.12489824;0.7024463;0.1542756;0.031113297;0.13662104;0.12680332;0.34787008;0.11568416;0.08934577;0.28676385;0.15060008;2.4046767;0.44621548;0.108212575;3.2689729;0.33584204;2.9423919;0.42947802;1000
0.04122605;0.104237735;0.14131217;0.5457245;0.11701946;0.039609913;0.119399905;0.14250766;0.30758715;0.109961696;0.034562796;0.13084503;0.17096262;0.5955974;0.12228232;0.030672833;0.13069606;0.12113982;0.89500755;0.1892497;0.022086354;0.12918293;0.15289222;0.39448053;0.11588353;0.027044773;0.15132771;0.20996495;0.3048108;0.11058008;0.036147945;0.11514213;0.14463715;0.48413053;0.16057427;0.032858558;0.16449971;0.2511627;0.36434838;0.15925589;0.025307989;0.13538466;0.11227239;0.31382278;0.10953738;0.04659547;0.14156988;0.12277537;0.2938365;0.10852369;0.029616244;0.1308505;0.1154794;0.33199665;0.11609522;0.07550411;0.115648136;0.1465568;0.27557018;0.106487654;0.028074061;0.13830087;0.12576514;0.6917522;0.15254644;0.03147141;0.13281116;0.12766661;0.34459677;0.11329263;0.09026483;0.28543648;0.1504673;2.3601835;0.4440622;0.10227853;3.332912;0.33756432;2.8867753;0.42826694;1000
