delta_0;theta_0;alpha_0;beta_0;gamma_0;delta_1;theta_1;alpha_1;beta_1;gamma_1;delta_2;theta_2;alpha_2;beta_2;gamma_2;delta_3;theta_3;alpha_3;beta_3;gamma_3;delta_4;theta_4;alpha_4;beta_4;gamma_4;delta_5;theta_5;alpha_5;beta_5;gamma_5;delta_6;theta_6;alpha_6;beta_6;gamma_6;delta_7;theta_7;alpha_7;beta_7;gamma_7;delta_8;theta_8;alpha_8;beta_8;gamma_8;delta_9;theta_9;alpha_9;beta_9;gamma_9;delta_10;theta_10;alpha_10;beta_10;gamma_10;delta_11;theta_11;alpha_11;beta_11;gamma_11;delta_12;theta_12;alpha_12;beta_12;gamma_12;delta_13;theta_13;alpha_13;beta_13;gamma_13;delta_14;theta_14;alpha_14;beta_14;gamma_14;delta_15;theta_15;alpha_15;beta_15;gamma_15;ACTION
186.08737;3.373471;0.94201905;0.41528946;0.17505144;2.33899;0.43376434;0.21778208;0.41514325;0.15471137;472.95703;2.7426364;0.40095985;0.53832304;0.5679866;15087.219;209.88155;31.066462;12.273635;20.466852;138.61276;1.2736539;0.15049426;0.3906812;0.32908478;169.58298;0.84936136;0.2738615;0.8802549;1.4361799;534.6851;6.8577657;0.8649327;0.6288907;1.3200866;177.15793;1.7524002;0.346289;0.81916445;1.1850274;294.01035;1.7963144;1.464306;0.5627501;0.44795853;257.84;7.2425923;1.0373082;0.81856805;1.1902452;39.872078;0.25884265;0.082943216;0.36240545;0.16053769;1.9049375;0.37287894;0.122255355;0.34679213;0.11646956;4.9375854;0.32633147;0.105134435;0.3405876;0.20449387;172.9379;2.2773812;0.38784617;0.44952473;0.16903266;6368.848;42.34674;6.8594284;3.0193834;5.3520875;2370.4478;24.924639;3.285434;2.4050913;4.920346;1
178.11507;3.2299688;0.90277344;0.41657874;0.1761792;2.3537447;0.4163766;0.22034228;0.41151962;0.15441123;458.80423;2.7118716;0.43128186;0.525837;0.56376743;15396.166;264.902;38.45188;14.14665;23.964487;135.71666;1.2676649;0.15829699;0.39240754;0.3329106;164.3928;0.79142237;0.25322786;0.8872143;1.4513816;519.1899;6.781176;0.9151114;0.6388147;1.3251275;171.39589;1.635039;0.33866715;0.8270068;1.2035714;284.30414;1.8308809;1.4363922;0.5578149;0.4469459;249.45042;7.0126324;1.0543989;0.8134074;1.1875564;38.715343;0.24799389;0.08371534;0.35550132;0.15987337;1.8278779;0.35662627;0.11839888;0.3403715;0.116262704;4.7077427;0.31235313;0.10041991;0.33438954;0.20554069;167.80965;2.2283788;0.37022552;0.4470814;0.17006883;6170.1074;42.190342;7.1353264;3.0692751;5.3511;2279.8909;24.164167;3.4831803;2.452521;4.9974055;1
170.01147;3.10235;0.90449667;0.40946153;0.17411447;2.3916876;0.40506703;0.22474425;0.40637457;0.15510242;443.94598;2.6895154;0.46761593;0.50004214;0.55802083;16088.991;337.05795;49.65251;15.516281;29.727911;132.10889;1.290965;0.17400065;0.39682114;0.33361182;158.63242;0.78502667;0.2661621;0.88905925;1.4626333;501.06345;6.618087;1.0015357;0.6673139;1.3256749;165.2329;1.6077092;0.36469254;0.82629776;1.2173492;274.26675;1.8520972;1.4213189;0.54035383;0.44600022;240.75644;6.8340983;1.0971775;0.8086706;1.1868718;37.500496;0.23862809;0.08699077;0.34625086;0.15946344;1.7629892;0.33958775;0.11480717;0.33399555;0.11573645;4.473391;0.29948717;0.09558754;0.32882488;0.20622416;162.17575;2.2040749;0.38175365;0.43731862;0.16967857;5960.0835;41.827282;7.7196236;2.8820899;5.314327;2186.9844;23.602768;3.7770307;2.4199004;5.0728254;1
162.00273;2.9831855;0.9134802;0.4006643;0.17212254;2.4389405;0.3971806;0.22858347;0.4006959;0.15533032;428.61523;2.6804225;0.5102235;0.4811301;0.54890823;17278.543;437.8797;65.346405;17.78047;39.59483;127.99086;1.3317269;0.19808458;0.3837552;0.3339018;152.47441;0.7936907;0.2721046;0.8751841;1.4726094;481.23203;6.7432337;1.1548599;0.6723451;1.3230195;158.8472;1.5900538;0.39457032;0.81423026;1.2307076;264.04733;1.8690237;1.4168794;0.5309287;0.44417655;232.41547;6.688943;1.1663276;0.80248;1.1867214;36.226437;0.23386593;0.09085675;0.33832556;0.15859576;1.7172644;0.32429108;0.11047291;0.32682276;0.11523273;4.2387447;0.28654957;0.088861614;0.3231178;0.20690215;156.22305;2.1847272;0.38476348;0.42541042;0.16965562;5742.5522;41.8367;8.415717;2.7524564;5.2683477;2093.1091;23.286219;4.1263065;2.3901885;5.147374;1
154.73752;2.8842237;0.93283296;0.39208883;0.17109849;2.4846678;0.39302152;0.23084956;0.39718533;0.1557011;413.27658;2.7099023;0.5752433;0.46718556;0.54020905;19137.172;577.71173;86.87116;20.768768;55.576485;123.58778;1.3701665;0.21015386;0.37603274;0.33011666;145.9822;0.8062266;0.2814589;0.8601965;1.4803467;461.24768;6.9278846;1.3092169;0.679061;1.3139743;152.42715;1.5735346;0.43115875;0.8028485;1.2421241;254.16168;1.906328;1.4267935;0.52479124;0.44231474;226.42458;6.631754;1.2508532;0.79720217;1.1844988;34.905254;0.23560996;0.09560024;0.3312318;0.15751027;1.6912766;0.30990598;0.10674822;0.31953478;0.114513;4.0275555;0.27534705;0.083424866;0.3173707;0.20698327;149.94302;2.1677933;0.3912152;0.41253394;0.16890457;5528.4985;42.540535;9.330042;2.7049139;5.236934;2013.252;23.244684;4.5922804;2.4012752;5.227821;1
150.81204;2.82974;0.9576728;0.3841372;0.17011212;2.524262;0.39491162;0.23359749;0.39241558;0.15531483;400.1865;2.8755102;0.66336006;0.45399302;0.5322028;21799.79;776.17505;114.34818;24.995495;80.384926;119.060974;1.3808771;0.24176584;0.364142;0.32583666;139.387;0.8387493;0.29774603;0.8469311;1.4868937;443.01123;7.048079;1.5217669;0.6780233;1.3055208;146.58574;1.6505836;0.47753048;0.7908306;1.2527028;246.7126;2.0162132;1.44455;0.51602256;0.44108784;225.10284;6.6624966;1.3648586;0.7945329;1.1839387;33.596977;0.24472958;0.10301385;0.32301578;0.15655448;1.679456;0.29702118;0.104489416;0.31192943;0.113826625;3.92824;0.26943016;0.082324326;0.31030673;0.20708717;143.31981;2.1666243;0.39961192;0.40183082;0.16814241;5377.307;45.068413;10.534748;2.6554534;5.226526;2011.6232;23.80946;5.194883;2.4191477;5.3153005;1
151.17279;2.818482;1.0141476;0.3780575;0.16915923;2.557646;0.38844725;0.23746921;0.38597703;0.15444286;397.30283;3.1708684;0.7808421;0.45782998;0.5259018;25396.012;1051.1929;154.66676;30.3314;118.15824;114.460815;1.4616381;0.27948448;0.35552576;0.3215957;135.03864;0.9121598;0.328683;0.83191854;1.492488;428.61688;7.6510663;1.804594;0.6960126;1.2927859;143.01399;1.7737937;0.5410566;0.7787571;1.2625425;246.04848;2.2310274;1.4899198;0.52533114;0.4388995;228.12512;6.8509207;1.5403774;0.79398257;1.1821378;33.082424;0.25675982;0.11286823;0.31831518;0.15526529;1.681826;0.2874634;0.10215065;0.30441648;0.112902984;3.9673767;0.26905572;0.081031404;0.3052581;0.2065585;137.80508;2.1506128;0.42454922;0.39084092;0.16836624;5392.714;49.151375;12.288849;2.7706523;5.2292857;2061.988;24.967688;6.058624;2.4976542;5.3997173;1
154.42375;2.8884163;1.0675052;0.37572193;0.16773985;2.5940738;0.3837762;0.23901573;0.38058138;0.15323609;406.04852;3.566813;0.91761494;0.4479789;0.5205448;30102.658;1428.358;207.97107;37.757835;174.75784;109.66543;1.5985498;0.32621786;0.3476383;0.31722084;135.8478;1.0189388;0.36210266;0.82060367;1.495773;419.99652;8.524098;2.142894;0.70496386;1.280148;143.09898;1.9420516;0.62193835;0.7703091;1.2704439;252.25089;2.5133257;1.5617629;0.5257826;0.43746763;234.55405;7.249132;1.7319207;0.7942986;1.1793581;33.856194;0.28789794;0.12578225;0.31225172;0.15413228;1.6988534;0.27948898;0.100428045;0.29693806;0.1117822;4.103592;0.27168557;0.08236636;0.29931927;0.2058392;139.00293;2.102612;0.4532328;0.38229775;0.16802447;5546.025;54.62594;14.22545;2.8000948;5.240407;2146.2024;26.74324;7.038645;2.5561545;5.4883904;1
159.91331;3.0343714;1.1418654;0.37046862;0.16778643;2.6544442;0.382765;0.23997617;0.37492567;0.15190473;422.8764;4.0785804;1.0824769;0.45895734;0.51901776;36167.14;1945.993;276.11295;46.92594;258.43857;107.37804;1.7884241;0.3828454;0.3417655;0.3135845;139.72441;1.1658627;0.4097388;0.8066107;1.4993203;418.72787;9.671163;2.5568068;0.7207436;1.2678983;146.27718;2.1787694;0.71839374;0.7634162;1.2786043;263.56058;2.871813;1.6467018;0.5414506;0.43324646;244.10602;7.8508515;1.966677;0.793014;1.1763088;35.40044;0.33362222;0.14169763;0.3084586;0.15164573;1.7311399;0.27284428;0.099337064;0.28973958;0.110387556;4.318688;0.2721079;0.08487211;0.29431412;0.2043233;143.81122;2.1834202;0.48044342;0.37294486;0.16892199;5798.1475;62.014107;16.497353;2.9516644;5.237342;2260.2004;29.197443;8.162824;2.6222882;5.5588403;1
167.54561;3.2532346;1.2365571;0.37820244;0.16739993;2.7485533;0.38364536;0.24042962;0.36944777;0.15010571;446.3502;4.7511663;1.30409;0.48049054;0.5341544;43892.227;2647.0906;374.40942;61.92889;381.23837;110.07725;2.02939;0.45066556;0.34009546;0.30972221;145.78331;1.3456397;0.46509138;0.7948615;1.5015241;424.89935;11.11658;3.0600047;0.74755955;1.2588911;151.9217;2.482915;0.8300808;0.7553963;1.2838545;279.2175;3.319265;1.7743136;0.5581363;0.4352312;256.8953;8.688297;2.2759955;0.8224668;1.1789011;37.53272;0.38779536;0.16224931;0.3088376;0.15147832;1.7791038;0.26820058;0.09899733;0.28305167;0.10868808;4.608342;0.27156028;0.08847791;0.28819412;0.20277058;151.01814;2.28196;0.5269291;0.37296653;0.16808648;6136.7935;71.54969;19.621515;3.3309224;5.3664174;2404.8796;32.695316;9.734903;2.798155;5.6778674;1
