delta_0;theta_0;alpha_0;beta_0;gamma_0;delta_1;theta_1;alpha_1;beta_1;gamma_1;delta_2;theta_2;alpha_2;beta_2;gamma_2;delta_3;theta_3;alpha_3;beta_3;gamma_3;delta_4;theta_4;alpha_4;beta_4;gamma_4;delta_5;theta_5;alpha_5;beta_5;gamma_5;delta_6;theta_6;alpha_6;beta_6;gamma_6;delta_7;theta_7;alpha_7;beta_7;gamma_7;delta_8;theta_8;alpha_8;beta_8;gamma_8;delta_9;theta_9;alpha_9;beta_9;gamma_9;delta_10;theta_10;alpha_10;beta_10;gamma_10;delta_11;theta_11;alpha_11;beta_11;gamma_11;delta_12;theta_12;alpha_12;beta_12;gamma_12;delta_13;theta_13;alpha_13;beta_13;gamma_13;delta_14;theta_14;alpha_14;beta_14;gamma_14;delta_15;theta_15;alpha_15;beta_15;gamma_15;ACTION
13560.955;2111.392;297.36087;59.642548;63.750164;2104.7751;656.5502;29.335814;23.628363;0.87093;5121.734;567.3575;40.01325;8.709094;3.6988978;21927.102;267.84427;74.834465;16.067776;11.189819;3055.8096;385.48126;51.11182;10.357821;3.7202508;6236.5264;1857.4169;137.384;28.52886;9.906255;7370.4727;1235.0963;171.28134;34.254623;9.25705;4010.4797;663.8358;146.45856;58.578144;18.470633;7063.739;1551.8884;238.77086;4.9444847;9.144902;3893.9006;711.47626;75.20372;24.666111;2.2355008;150.49364;13.791395;1.5855087;0.84604514;0.34976062;135.43544;36.99849;6.364022;1.4816154;0.32717237;9191.954;75.80324;14.396865;7.1257973;2.0923145;7053.9966;896.63184;53.79796;6.2200294;5.0555563;29458.994;357.57404;101.69699;12.318195;21.20816;181947.62;3081.5483;132.09915;18.4759;32.293922;0
13459.931;2086.7092;321.88364;63.47801;68.5307;2407.053;737.5353;31.984259;26.50453;0.9331633;5305.037;570.1213;40.577736;9.177779;3.811188;22343.777;283.78802;79.90031;17.357224;11.798378;3149.2192;400.51425;54.484837;11.295738;3.993728;6517.357;1959.8823;136.65071;28.823256;10.292778;8080.868;1380.9935;182.08105;36.718487;9.875388;4359.665;660.2776;151.18349;59.74599;19.344969;7617.5796;1639.038;237.22084;5.1858144;9.507229;4210.5107;776.843;80.60837;25.29973;2.3147826;160.12354;15.148858;1.7127898;0.90762126;0.3585338;146.4034;42.859936;7.444879;1.6029558;0.35582602;9141.738;77.19759;14.3602705;7.704787;2.2201831;7216.948;898.7063;54.957813;6.47185;5.3964796;30083.31;356.83087;109.95861;12.888197;21.842098;186169.3;3185.8398;131.37868;19.50587;34.868095;0
13309.392;2055.3503;346.48892;67.23916;73.54992;2736.9595;820.04486;34.582222;29.491505;0.9971545;5505.3853;568.9528;41.061176;9.603751;3.9292293;22673.277;300.67316;84.64847;18.793537;12.477041;3272.796;413.70444;57.78885;12.268075;4.2766194;6815.4653;2057.8777;135.82094;29.29494;10.702585;8826.19;1537.41;193.61101;39.210907;10.510219;4740.0415;659.2431;155.54955;61.032818;20.23013;8261.344;1728.9524;236.07666;5.43106;9.851414;4541.462;843.965;86.08987;25.997452;2.4043765;170.19061;16.54585;1.8370837;0.9711105;0.36636066;158.04964;49.315556;8.6512985;1.73947;0.3869832;9013.929;78.82109;14.250234;8.293062;2.3534067;7405.5317;895.9702;56.096317;6.7719216;5.7637467;30661.316;382.1102;117.72462;13.469406;22.468784;189234.7;3269.8123;133.86272;19.881111;37.517086;0
625.21423;157.0932;23.594795;10.669178;502.31982;20.013206;1.907865;0.40350103;0.37545168;1.2391291;490.2149;54.322433;5.3342743;1.5183028;16.42825;1582.5022;127.72348;9.040004;4.082908;155.80043;374.46194;39.12114;5.171545;1.2208785;19.669226;453.1717;76.79411;6.6018615;1.4151142;51.2707;251.25949;28.340986;3.2192514;2.293165;36.050827;330.84567;39.26702;5.9961214;1.8838508;13.550514;324.55597;50.552868;10.498271;3.6934156;27.193598;142.42245;11.952001;0.832546;0.304437;5.5037956;25.351084;2.8597212;0.3155579;0.38854012;2.2623224;0.9490932;0.41649675;0.17057918;0.2637797;0.13596217;29.663797;4.531198;0.46834564;0.37391627;2.8476534;348.85727;50.84629;5.0077085;1.4943302;49.129063;1971.7943;201.58589;20.490211;8.822724;233.51083;3202.8296;456.88196;23.344425;10.491712;282.2311;5
520.10754;85.78825;24.919052;13.405921;520.7498;31.362152;0.8372328;0.5101511;0.34995693;1.343289;345.05658;32.134605;4.897281;1.5478188;17.89419;1208.6963;58.091427;5.1256495;4.3262978;153.10211;316.84372;25.583181;4.4251227;1.4400259;20.595348;390.17612;40.073933;5.2840476;1.9233832;52.43963;276.36755;13.609056;2.1069322;2.180565;35.93362;309.89914;28.292496;3.8294165;1.5264436;14.449798;412.4299;19.872261;10.399277;3.4733062;27.571014;105.23617;7.2818313;0.75278056;0.41767648;5.5521374;25.07402;1.3313481;0.3939311;0.33634523;2.2534716;0.5956129;0.15379047;0.18758179;0.22714747;0.14822286;57.421833;1.1749884;0.69803363;0.40809667;2.9517047;296.94403;28.73403;5.401849;1.9358569;50.22304;2042.2192;128.73584;17.120554;9.718231;234.74274;2827.2512;290.78445;22.144257;11.856238;285.71918;5
532.06903;88.136765;25.404467;14.290984;532.4205;33.69802;0.90905076;0.5169799;0.34105918;1.3706238;345.8585;33.54173;5.033004;1.6148757;18.40054;1148.5593;57.36995;5.3581724;4.671989;156.55774;323.18762;26.83069;4.482891;1.517673;21.048635;373.08246;41.18651;5.462908;2.0619907;53.545757;284.69537;14.636527;2.2644234;2.3393087;36.72606;309.26797;28.69495;3.7233906;1.5845869;14.885075;437.53146;21.274775;10.451748;3.524108;28.229418;103.78384;7.666162;0.78082824;0.43843412;5.673755;25.357748;1.3504548;0.39808896;0.33230007;2.3052175;0.6178144;0.14699635;0.18733056;0.22240393;0.14945513;59.3698;1.1973634;0.7002333;0.4138889;3.0307252;303.4637;29.899424;5.568134;2.060538;51.26361;2121.8909;134.37138;17.74294;10.437692;240.06572;2830.6108;292.19974;23.010307;12.987316;292.25528;5
552.05035;91.00942;25.834599;15.268276;547.51013;36.396824;0.99758816;0.5260471;0.3336441;1.4037672;353.1881;34.88479;5.2024684;1.6960695;19.012789;1107.4623;53.866688;5.434258;5.0420437;160.91614;334.70782;28.072994;4.59902;1.5999627;21.627674;376.82776;42.396114;5.620781;2.234243;54.99341;296.11475;15.788505;2.390616;2.5434036;37.719532;317.19183;29.048119;3.8213108;1.6509749;15.394674;469.04486;22.640772;10.319757;3.5606055;29.034716;106.570724;7.9935184;0.8016481;0.46682224;5.8314548;26.034582;1.3491415;0.3988923;0.33080608;2.3689044;0.64814067;0.14229593;0.1868378;0.21763587;0.15075763;61.278572;1.1803782;0.7126242;0.42495993;3.1275268;315.27975;31.07391;5.701589;2.2134252;52.65257;2231.5884;137.29945;18.285007;11.072547;246.89513;2873.1577;283.42422;24.038994;14.091064;300.85977;5
577.68915;95.06879;26.238623;16.37864;564.7783;39.460106;1.1031876;0.5366184;0.3259821;1.4399987;365.89154;36.405613;5.264822;1.7787534;19.702682;1076.5145;49.90365;5.412593;5.3896556;165.94969;350.13266;29.554571;4.648402;1.6922877;22.29834;386.0889;44.056583;5.786195;2.4145877;56.683235;310.31085;17.172832;2.5819764;2.816891;38.87062;329.08154;29.724665;3.9537768;1.7055337;15.97145;506.55652;24.327784;10.253522;3.5960672;29.922178;110.40087;8.358098;0.8318393;0.4933342;6.0086823;26.982685;1.3507198;0.4029196;0.32852456;2.4399529;0.6872986;0.13963863;0.18644752;0.21305485;0.15210322;63.119656;1.1382147;0.7266186;0.42693508;3.235402;330.56192;32.57364;5.7923822;2.3787575;54.241837;2368.2046;139.12961;18.33572;11.663618;254.51997;2963.2568;272.3659;24.010881;15.041442;310.52795;5
608.57074;100.00299;26.620466;17.569185;583.4583;42.89787;1.2253264;0.54721475;0.32412207;1.4786901;382.623;38.32888;5.380603;1.8775593;20.440836;1052.7455;47.356438;5.5562673;5.739064;171.38576;368.66785;31.401968;4.735317;1.7936317;23.025253;398.01364;46.177055;5.982145;2.6089594;58.533184;327.55637;18.968708;2.8452983;3.1500928;40.117733;343.29276;30.73404;4.1792674;1.7761577;16.59133;550.3694;26.53411;10.363827;3.6333823;30.86635;114.879776;8.924893;0.8831051;0.5235567;6.1996064;28.140924;1.376085;0.4067966;0.32764265;2.5153642;0.7340481;0.13997178;0.18842828;0.21010743;0.15351263;64.8786;1.1439869;0.7270782;0.42884472;3.3457696;348.6247;34.44812;5.915502;2.5562413;55.962685;2526.589;144.53728;19.127106;12.249642;262.62564;3088.8125;271.15234;25.239182;15.856989;320.7364;5
645.01764;105.69715;27.309002;18.83868;602.9798;46.773693;1.3580066;0.5597765;0.3216986;1.5175515;402.922;40.46839;5.6060658;1.9844444;21.221407;1035.0248;45.778164;5.7167897;6.0938177;177.07857;390.36856;33.484997;4.888584;1.9029411;23.79412;412.18823;48.62305;6.230675;2.817125;60.498795;348.31372;21.13287;3.178377;3.568964;41.430485;359.75833;31.95622;4.5158963;1.8485608;17.246672;601.9862;29.100397;10.631294;3.6792781;31.844095;120.269295;9.623506;0.93654174;0.5540586;6.397171;29.51275;1.4092945;0.41123328;0.32807586;2.5937908;0.7892262;0.14177103;0.18653618;0.20594338;0.15468068;66.60147;1.1800818;0.7321877;0.43191835;3.4607787;369.64987;36.56788;6.1331635;2.7458134;57.757793;2705.7363;151.9248;19.890629;12.92035;271.0671;3243.038;275.2236;26.140228;16.576185;331.38904;5
